Австралия	AU
Австрия	AT
Азербайджан	AZ
Албания	AL
Алжир	DZ
Ангилья	AI
Ангола	AO
Андорра	AD
Антарктида	AQ
Аргентина	AR
Армения	AM
Аруба	AW
Афганистан	AF
Багамы	BS
Бангладеш	BD
Барбадос	BB
Бахрейн	BH
Белиз	BZ
Белоруссия	BY
Бельгия	BE
Бенин	BJ
Бермуды	BM
Болгария	BG
Боливия	BO
Ботсвана	BW
Бразилия	BR
Бруней	BN
Бурунди	BI
Бутан	BT
Вануату	VU
Ватикан	VA
Великобритания	GB
Венгрия	HU
Венесуэла	VE
Вьетнам	VN
Габон	GA
Гаити	HT
Гайана	GY
Гамбия	GM
Гана	GH
Гваделупа	GP
Гватемала	GT
Гвиана	GF
Гвинея	GN
Германия	DE
Гернси	GG
Гибралтар	GI
Гондурас	HN
Гонконг	HK
Гренада	GD
Гренландия	GL
Греция	GR
Грузия	GE
Гуам	GU
Дания	DK
Джибути	DJ
Доминика	DM
Египет	EG
Замбия	ZM
Зимбабве	ZW
Израиль	IL
Индонезия	ID
Иордания	JO
Ирак	IQ
Иран	IR
Исландия	IS
Испания	ES
Италия	IT
Йемен	YE
Казахстан	KZ
Камбоджа	KH
Камерун	CM
Канада	CA
Катар	QA
Кения	KE
Кипр	CY
Киргизия	KG
Кирибати	KI
КНДР	KP
КНР	CN
Колумбия	CO
Коморы	KM
Куба	CU
Кувейт	KW
Кюрасао	CW
Лаос	LA
Латвия	LV
Лесото	LS
Либерия	LR
Ливан	LB
Ливия	LY
Литва	LT
Лихтенштейн	LI
Люксембург	LU
Маврикий	MU
Мавритания	MR
Мадагаскар	MG
Майотта	YT
Макао	MO
Македония	MK
Малави	MW
Малайзия	MY
Мали	ML
Мальдивы	MV
Мальта	MT
Марокко	MA
Мартиника	MQ
Мексика	MX
Микронезия	FM
Мозамбик	MZ
Молдавия	MD
Монако	MC
Монголия	MN
Монтсеррат	MS
Мьянма	MM
Намибия	NA
Науру	NR
Непал	NP
Нигер	NE
Нигерия	NG
Нидерланды	NL
Никарагуа	NI
Ниуэ	NU
Норвегия	NO
ОАЭ	AE
Оман	OM
Пакистан	PK
Палау	PW
Панама	PA
Парагвай	PY
Перу	PE
Польша	PL
Португалия	PT
Россия	RU
Руанда	RW
Румыния	RO
Сальвадор	SV
Самоа	WS
Свазиленд	SZ
Сенегал	SN
Сербия	RS
Сингапур	SG
Сирия	SY
Словакия	SK
Словения	SI
Сомали	SO
Судан	SD
Суринам	SR
США	US
Таджикистан	TJ
Таиланд	TH
Танзания	TZ
Того	TG
Токелау	TK
Тонга	TO
Тувалу	TV
Тунис	TN
Туркмения	TM
Турция	TR
Уганда	UG
Узбекистан	UZ
Украина	UA
Уругвай	UY
Фиджи	FJ
Филиппины	PH
Финляндия	FI
Франция	FR
Хорватия	HR
ЦАР	CF
Чад	TD
Черногория	ME
Чехия	CZ
Чили	CL
Швейцария	CH
Швеция	SE
Эквадор	EC
Эритрея	ER
Эстония	EE
Эфиопия	ET
ЮАР	ZA
Ямайка	JM
Япония	JP
